Group,ID,BDNF,NTRK2-FL,NTRK2-T1,VGF,SLC17A7,GRIA1,GRIN2A,GRIN2B,DLG4,PVALB,SST,VIP,SLC6A1,SLC32A1,GAD1,GAD2,GABRA1,GABRA2,GABRA5,GFAP,SLC1A2
GF,0521 C,0.81,1.97,3.62,2.36,26.25,9.91,5.51,4.75,8.77,1.34,2.03,0.2,3.13,0.73,3.35,2.64,5.75,3.97,2.43,4.25,19.11
GF,0521 D,0.85,2.04,4.33,2.12,28.49,10.5,5.45,5.49,9.39,1.57,2.08,0.3,2.87,0.49,2.84,1.84,4.81,4.05,2.74,3.85,24.97
GF,0521 E,0.68,2.01,5.66,1.92,25.82,9.72,5.21,5.25,8.73,1.08,1.94,0.27,2.89,0.49,2.7,1.93,4.28,4.07,2.51,5.24,24.81
GF,0521 F,0.88,2.14,3.86,1.95,27.11,12.47,6.06,6.22,11.2,0.85,1.83,0.17,3.32,0.48,3.17,1.95,5.36,4.18,2.33,4.25,26.78
GF,GF SW A,0.83,2.07,5.1,2.48,25.83,10.11,5.34,4.79,8.51,1.7,1.95,0.24,3,0.52,2.8,1.66,3.67,4.11,2.66,5.51,21.6
GF,GF SW B,0.84,2.38,4.47,2.91,28.63,11.3,5.68,5.38,9.07,1.41,2.97,0.25,3.4,0.63,2.88,1.95,4.78,4.43,2.59,3.9,21.85
Mono-colonized,C/0377 L,0.76,1.99,3.9,2,24.11,11.53,5.71,5.24,10.32,1.25,1.9,0.3,3.49,0.56,3.35,2.12,6.36,4.56,2.42,4.61,28.57
Mono-colonized,0475 N,0.78,2.38,4.63,2.3,25.54,13.26,6.42,6.5,11.55,0.87,3.38,0.51,3.25,0.49,3.06,1.9,6.35,4.97,2.68,3.99,24.71
Mono-colonized,31,0.82,2.29,4.2,2.45,28.1,12.89,6.69,6.18,11.91,1.16,2.9,0.41,4.54,0.69,3.77,2.52,5.69,4.57,3,3.97,26.93
Mono-colonized,C/0731 L,0.78,2.13,3.17,2,30.49,12.59,6.13,5.81,10.43,1.08,1.54,0.21,3.15,0.53,3.13,1.87,4.81,4.62,2.71,4.15,23.02
Mono-colonized,C/0731 R,0.87,2.45,3.54,2.42,28.41,12.26,6.69,5.99,10.24,1.31,1.92,0.39,3.27,0.47,2.67,1.79,5.14,4.57,3.03,4.4,21.44
Mono-colonized,C/0731 B,0.92,2.63,5.65,2.79,25.11,12.86,6.36,5.88,12.95,1.27,2.91,0.4,5.37,0.88,4.91,3.74,6.35,5.3,2.35,5.82,35.24
cSPF,A1,0.96,2.17,3.21,3.39,30.17,11.84,6.35,4.45,11.84,0.95,2.27,0.15,3.22,0.48,2.7,1.99,4.81,4.34,3.63,3.43,26.42
cSPF,A4,1.01,2.16,3.26,3.36,31.34,11.39,5.87,4.67,10.96,0.93,2.28,0.14,3.43,0.52,2.71,2.17,4.69,4.66,3.74,3.35,25.54
cSPF,B2,0.77,2.63,3.62,3.28,31.1,9.83,5.47,4.59,10.7,1.22,3.92,0.23,3.05,0.44,2.52,1.73,6.19,3.66,3.11,3.26,24.53
cSPF,C0,0.9,2.19,3.52,3.08,30.08,9.45,5.18,4.15,9.99,1.06,3.37,0.15,3.13,0.44,2.41,1.59,4.62,3.92,3.03,2.9,21.76
cSPF,C1,0.79,2.28,3.67,3.49,25.62,9.92,4.98,3.97,11.09,0.77,3.15,0.17,3.24,0.53,2.59,1.94,4.48,3.77,2.61,3.24,21.36
cSPF,D2,0.88,2.44,3.52,3.08,29.21,12.99,6.94,5.15,12.48,1.09,3.57,0.29,3.58,0.51,2.89,1.93,6.03,4.64,3.75,3.54,27.17
SPF-colonized,0424 B,0.63,2.08,3.27,2.43,28.92,9.48,5.36,4.54,9.59,0.89,2.45,0.32,2.82,0.41,2.25,1.53,4.36,4.02,2.59,3.09,23.8
SPF-colonized,0424 N,0.73,2.15,3.29,2.88,30.34,10.06,5.56,4.48,10.34,1.23,2.87,0.42,3.41,0.51,2.77,1.81,5.01,4.51,2.82,3.25,22.79
SPF-colonized,0293 B,0.64,2.11,2.87,2.71,28.32,10.75,5.96,4.51,11.18,1.17,2.57,0.39,3.38,0.47,2.65,1.77,5.17,4.27,2.75,2.06,20.78
SPF-colonized,0293 R,0.72,2.13,3.16,2.39,28.33,12.22,6.5,4.95,12.21,1.1,2.6,0.34,3.56,0.48,3.12,1.88,5.42,4.46,2.86,2.78,23.47
SPF-colonized,0601 L,0.71,2.01,3.39,2.49,26.62,11.48,6.56,4.68,12.15,1.02,2.01,0.3,3.34,0.54,3.18,2.13,6.05,4.13,2.91,2.85,24.23
SPF-colonized,0601 N,0.72,1.97,3.23,2.28,27.78,11.94,6.63,4.54,12.79,0.99,2.03,0.23,3.63,0.55,3.39,2.17,5.53,4.02,2.6,3.67,26.23
