,BDNF,NTRK2-FL,NTRK2-T1,VGF,SLC17A7,GRIA1,GRIN2A,GRIN2B,DLG4,PVALB,SST,VIP,SLC6A1,SLC32A1,GAD1,GAD2,GABRA1,GABRA2,GABRA5,GFAP,SLC1A2
0521 C,1.143041,5.178797,5.001955,4.669985,37.311358,5.945375,4.605641,5.865444,17.284734,1.683182,6.191653,1.446720,5.208619,0.787435,3.860443,2.504346,14.665640,2.898911,1.248918,2.090150,32.424947
0521 D,1.603420,5.009581,6.540565,6.925943,32.816090,5.670275,4.971821,6.559156,19.884434,1.746219,6.366936,2.173315,6.153028,0.847617,4.423836,3.094165,12.803681,3.438541,0.892858,2.782535,41.653981
0521 E,1.589920,5.795249,4.623380,6.306255,38.092051,6.205855,5.420845,6.613135,17.600269,2.636443,7.021373,1.597872,5.462844,0.849782,4.114191,2.403018,17.969779,3.159014,1.095196,1.587525,37.413742
0521 F,2.220214,5.336371,4.900775,8.215236,39.289851,6.397443,5.435373,7.223748,19.424807,1.655168,6.801423,1.282665,5.922653,0.824553,3.745314,2.473766,13.834067,3.287060,1.090453,2.604966,32.679111
GF SW A,1.521550,6.184623,3.413394,8.494107,44.126855,6.505504,5.481532,6.023779,16.767762,3.015612,6.703135,0.760620,5.202430,0.921579,4.009786,2.177875,14.959064,2.134394,1.365563,0.332311,33.576746
GF SW B,1.445666,5.738826,3.560032,6.591297,40.325733,5.903615,4.978259,5.815328,15.665450,2.589353,6.696947,1.185949,5.076623,0.816953,3.473091,2.240921,14.079086,2.555477,1.260045,0.506400,28.789616
C/0377 L,1.767131,6.765503,4.050958,8.005447,41.386421,5.997087,6.000638,6.367476,17.297819,2.763430,5.923645,1.189356,5.256876,0.963197,3.931142,3.041519,14.499463,2.771667,1.220699,1.201286,34.480543
0475 N,2.091299,6.775840,4.681311,6.929943,41.208927,5.308767,5.333958,6.195183,17.586793,2.047042,7.283648,1.308082,5.444549,0.908344,3.787915,2.437035,14.443028,2.795757,1.146993,1.502910,30.496620
0031,1.554588,4.493894,4.299404,6.599604,38.511468,4.778356,5.574455,5.962120,17.543668,3.281717,6.634795,1.548107,5.832658,0.903938,4.480751,2.465771,16.442001,2.454845,1.100969,1.587583,33.713345
C/0731 L,2.142300,6.296093,4.898521,7.454083,34.894920,5.568837,5.594051,5.918896,18.100713,3.047994,8.081269,1.544493,6.236480,0.932547,4.439703,3.029092,15.458016,3.072636,0.901297,3.639624,37.327032
C/0731 R,1.506612,6.197592,4.225333,6.563034,37.375104,6.236238,4.668613,5.617729,15.150285,2.040467,8.116084,1.288106,5.229152,0.858483,3.770393,2.768675,14.840245,2.688360,1.479083,3.283875,30.131385
C/0731 B,2.436461,6.254146,4.429219,9.915658,37.276894,5.573357,6.078514,6.108010,18.987604,3.130450,5.890625,1.629660,5.333759,0.842773,3.722269,3.021799,16.362138,2.958823,1.117815,1.375331,36.747584
A1,0.896886,6.023915,3.607154,6.299356,43.842762,6.968261,5.791335,6.964745,18.265432,2.256414,7.765057,0.946816,5.250438,0.950435,3.912909,2.044676,16.732698,2.534012,1.373449,0.546246,32.808497
A4,0.792449,6.103915,3.757927,5.465000,46.945650,7.409775,6.005063,7.028876,18.628043,2.186056,7.331515,0.778497,6.029647,1.033951,3.980062,2.415271,14.848879,2.323708,1.421950,0.827845,32.743427
B2,1.072839,7.104716,6.575521,6.190105,41.968503,7.480095,7.206643,8.620559,22.475201,1.928805,7.751149,1.516007,7.241358,1.134693,5.172273,2.933754,17.812282,3.662682,1.035248,3.814673,46.234408
C0,0.868514,6.782694,3.984617,6.559732,46.255784,6.924951,6.789127,7.653538,19.703008,2.562206,7.069597,0.971718,6.334975,1.087405,4.376973,2.163716,18.230147,2.731201,1.203815,0.908477,35.582771
C1,1.108958,6.700722,4.773183,7.922569,47.407905,8.139333,6.727099,8.286725,21.178053,1.923136,7.930123,1.091028,6.065585,1.017466,4.366865,2.432357,17.414707,2.951105,1.326270,1.268599,39.668099
D2,0.928413,6.441693,4.083507,5.977233,43.379339,6.482271,6.866065,8.309794,20.286889,2.502595,6.015861,1.368763,6.371482,1.020871,4.768002,2.432966,20.808508,3.056119,1.180186,1.246913,36.455223
0424 B,0.850147,6.901115,3.991415,5.867006,43.320627,7.021316,6.791597,8.634096,20.905222,2.801439,6.528106,1.505577,6.862410,1.094525,4.663914,2.793566,18.978886,3.319188,1.081716,0.252687,37.449727
0424 N,1.020086,6.482408,5.130985,6.064809,41.292249,6.956390,5.852884,7.725564,20.788209,2.322046,6.789513,1.508018,6.240879,1.047688,4.456836,2.868346,18.205758,3.335592,1.148956,2.588389,36.696030
0293 B,0.825166,5.316085,4.267719,4.252801,34.867417,6.409327,4.813421,6.610539,16.682126,1.913301,5.693660,1.258356,5.756064,0.809816,4.426620,2.522197,15.722225,2.415619,1.316912,2.022154,29.776500
0293 R,0.882880,6.547346,5.506107,5.204958,37.049294,5.656239,5.994970,6.747638,18.903897,3.367048,5.297859,1.391168,7.111513,1.047952,4.662523,2.813837,18.244862,2.875532,0.944901,3.735635,38.905702
0601 L,1.014332,7.268242,5.489934,8.061856,43.338355,5.770640,6.906031,7.967315,21.647091,3.140655,6.324716,1.401312,7.693405,1.235715,5.438688,2.838497,16.144585,3.224566,0.945423,1.662036,43.947571
0601 N,1.071276,6.837517,4.212417,7.304141,43.795532,6.148378,6.652765,7.403214,18.860463,2.793213,6.580568,1.378483,6.147599,0.950967,4.619494,2.601113,17.169452,3.121248,0.988062,0.870455,36.101769
